grb,blocked
GRB080905499,"[6, 7, 8, 9, 10, 11, 13]"
GRB080905705,"[6, 7, 8]"
GRB080916406,[6]
GRB080928628,[0]
GRB081007224,"[6, 7, 8]"
GRB081012549,"[9, 10, 11, 13]"
GRB081025349,"[0, 1, 2, 3, 5, 12]"
GRB081101491,"[0, 3, 4, 5]"
GRB081102739,"[6, 7, 8, 9, 10, 11, 13]"
GRB081109293,"[6, 7]"
GRB081121858,[]
GRB081126899,"[6, 7, 8, 9, 10, 11, 13]"
GRB081222204,"[9, 10, 11]"
GRB081226044,"[0, 1]"
GRB090129880,[]
GRB090422150,"[6, 7, 8, 9, 10, 11, 13]"
GRB090423330,"[0, 1, 2, 3, 4, 5, 12]"
GRB090424592,"[0, 2, 3, 5]"
GRB090509215,"[2, 3, 4, 5, 12]"
GRB090510016,"[6, 7, 8]"
GRB090516353,"[0, 1, 2, 4, 5, 12]"
GRB090518080,"[0, 1, 2, 3, 4, 5, 12]"
GRB090531775,"[3, 4, 5]"
GRB090618353,"[6, 7, 8, 9, 10, 11]"
GRB090621185,"[6, 7, 8, 9, 10, 11, 13]"
GRB090621922,"[6, 7, 8, 9, 10, 11, 13]"
GRB090708152,"[0, 1, 2, 3, 4, 5, 12]"
GRB090709630,"[0, 3, 5]"
GRB090712160,"[6, 7, 8, 9, 10, 11, 13]"
GRB090813174,"[0, 3]"
GRB090904058,"[0, 2, 3, 5]"
GRB090926914,"[9, 10, 11]"
GRB090927422,[]
GRB091020900,"[0, 1, 2, 3, 4, 5, 12]"
GRB091024372,"[6, 7, 8, 9, 10, 11, 13]"
GRB091102607,[9]
GRB091112737,"[3, 5]"
GRB091127976,"[9, 10, 11, 13]"
GRB091208410,"[6, 8, 9, 10, 11, 13]"
GRB091221870,"[6, 8, 9, 10, 11, 13]"
GRB100111176,"[0, 1, 2, 3, 4, 5, 12]"
GRB100117879,"[9, 10]"
GRB100206563,"[6, 7, 8, 9, 10, 11, 13]"
GRB100212588,"[6, 7, 8, 9, 10, 11, 13]"
GRB100401297,"[6, 7, 8, 9, 10, 11, 13]"
GRB100427356,[6]
GRB100504806,"[3, 5]"
GRB100522157,[9]
GRB100615083,[]
GRB100619015,"[6, 8, 11]"
GRB100625773,[9]
GRB100704149,"[0, 1, 2, 5, 12]"
GRB100727238,"[0, 1, 2]"
GRB100728095,"[6, 7, 8, 9, 11]"
GRB100728439,"[6, 7, 8, 9, 10, 11, 13]"
GRB100802240,"[6, 7, 8, 9, 10, 11, 13]"
GRB100814160,"[9, 10, 11]"
GRB100816026,"[6, 7, 8, 9, 10, 11, 13]"
GRB100906576,"[6, 7, 8, 9, 10, 11, 13]"
GRB101008697,"[6, 7, 8, 9, 10, 11, 13]"
GRB101011707,[9]
GRB101023951,[6]
GRB101024486,[9]
GRB101213451,"[0, 1, 2, 3, 4, 5, 12]"
GRB101224227,"[6, 7, 9, 10, 11]"
GRB110102788,"[0, 1, 2, 3, 4, 5, 12]"
GRB110106893,"[0, 1, 2, 3, 4, 5, 12]"
GRB110119931,"[6, 7, 8]"
GRB110128073,"[0, 1, 2, 3, 4, 5, 12]"
GRB110207470,"[9, 10]"
GRB110213220,"[6, 7, 8, 9, 10, 11, 13]"
GRB110318552,"[6, 7, 8]"
GRB110402009,"[0, 1, 2, 3, 4, 5, 12]"
GRB110412315,"[0, 1, 2, 3, 4, 5, 12]"
GRB110420946,"[6, 7, 8]"
GRB110610640,"[6, 7, 8, 9, 10, 11, 13]"
GRB110625881,"[6, 7, 8, 9, 10, 11]"
GRB110709642,"[0, 1, 2, 3, 4, 5, 12]"
GRB110731465,"[6, 9, 11]"
GRB110818860,[6]
GRB110921577,"[6, 7, 8, 9, 10, 11, 13]"
GRB111103441,"[6, 7, 8, 10, 11, 13]"
GRB111117510,"[6, 8, 9, 10, 11, 13]"
GRB111228657,"[0, 1, 2, 3, 4, 5, 12]"
GRB120102095,"[6, 9, 10, 11]"
GRB120119170,"[0, 1, 2, 3, 4, 5, 12]"
GRB120212383,"[6, 8, 9, 10, 11, 13]"
GRB120302080,"[0, 1, 2, 3, 4, 5, 12]"
GRB120326056,"[6, 9, 11]"
GRB120521380,[3]
GRB120711115,[0]
GRB120712571,"[0, 1]"
GRB120728934,"[0, 1, 2]"
GRB120811649,"[0, 1, 2, 3, 4, 5, 12]"
GRB120907017,"[6, 7, 8, 9, 10, 11, 13]"
GRB120909070,[6]
GRB120911298,"[6, 7, 8, 9, 10, 11, 13]"
GRB120913997,"[3, 4, 5, 12]"
GRB120922939,"[0, 2, 3, 4, 5, 12]"
GRB121011469,"[0, 1, 2, 3, 5]"
GRB121031949,"[0, 1]"
GRB121128212,"[6, 7, 8, 9, 10, 11, 13]"
GRB121202181,"[0, 1, 2, 3, 5]"
GRB121211574,"[0, 1, 2, 3, 4, 5, 12]"
GRB121217313,[0]
GRB130206817,"[0, 1, 2]"
GRB130215063,"[6, 7, 8, 9, 10, 11, 13]"
GRB130216790,"[6, 7, 8, 9, 10, 11, 13]"
GRB130216927,"[6, 7, 8, 9, 10, 11, 13]"
GRB130306991,"[6, 9, 10, 11]"
GRB130420313,"[0, 1, 2, 3, 4, 5, 12]"
GRB130420539,"[0, 1, 2, 3, 4, 5, 12]"
GRB130502743,"[0, 1, 2, 4, 5, 12]"
GRB130515056,"[6, 7]"
GRB130528695,"[0, 1, 3, 5]"
GRB130609129,"[0, 1, 2, 3, 4, 5, 12]"
GRB130609902,"[9, 10, 11]"
GRB130610133,"[0, 1, 2, 3, 4, 5, 12]"
GRB130612141,"[0, 1, 2, 3, 5]"
GRB130623488,[]
GRB130627372,[]
GRB130716442,"[0, 1, 2, 3, 4, 5, 12]"
GRB130727698,[6]
GRB130803419,"[2, 3, 4, 5, 12]"
GRB130912358,"[6, 7, 8, 9, 10, 11, 13]"
GRB130925173,"[9, 10, 11]"
GRB131002288,"[0, 1, 3, 5]"
GRB131004904,"[6, 7, 8, 9, 10, 11, 13]"
GRB131024900,"[0, 1, 2, 3, 4, 5, 12]"
GRB131128629,"[6, 7, 8, 9, 10, 11, 13]"
GRB131229277,"[6, 7, 11]"
GRB140108721,"[6, 7, 8, 9, 10, 11, 13]"
GRB140118064,"[6, 7, 8, 13]"
GRB140206304,"[0, 1, 2, 3, 4, 5, 12]"
GRB140209313,"[6, 7, 8, 9, 11]"
GRB140213807,[0]
GRB140302342,"[0, 1, 2, 3, 4, 5]"
GRB140311885,"[0, 1, 2, 3, 4, 5]"
GRB140320092,"[6, 7, 8, 9, 10, 11, 13]"
GRB140323433,[]
GRB140408553,"[6, 7, 8, 9, 10, 11, 13]"
GRB140423356,"[0, 1, 2, 3, 4, 5, 12]"
GRB140502354,"[6, 7, 8, 9, 10, 11, 13]"
GRB140506880,[6]
GRB140512814,"[6, 7, 8, 9, 10, 11, 13]"
GRB140521732,"[6, 8, 9, 10, 11, 13]"
GRB140610689,"[6, 7, 9, 10, 11, 13]"
GRB140703026,"[6, 7, 8, 9, 10, 11, 13]"
GRB140706815,"[9, 10, 11]"
GRB140709051,"[6, 7, 8, 9, 10, 11, 13]"
GRB140709637,"[0, 1, 2, 3, 4, 5, 12]"
GRB140713780,"[6, 7, 9, 10, 11]"
GRB140716436,"[0, 1, 2]"
GRB140828288,"[0, 1, 2, 3, 4, 5, 12]"
GRB140907672,"[6, 7, 8, 9, 10, 11, 13]"
GRB140919636,"[3, 4, 5]"
GRB141004973,"[6, 7, 8, 9, 11]"
GRB141005217,"[6, 7, 8, 9, 10, 11, 13]"
GRB141022061,[3]
GRB141031304,"[0, 1, 2]"
GRB141102536,[3]
GRB141220252,"[0, 1, 2, 3, 4, 5, 12]"
GRB141221338,"[3, 4, 5]"
GRB141225959,"[0, 1, 2, 3, 4, 5, 12]"
GRB150101270,"[6, 7, 8, 9, 10, 11, 13]"
GRB150101641,[3]
GRB150110923,"[6, 7, 8, 9, 10, 11, 13]"
GRB150120123,"[6, 7, 8, 9, 10, 11, 13]"
GRB150201574,[9]
GRB150203173,"[0, 3, 4, 5]"
GRB150204272,[0]
GRB150301045,"[3, 4, 5]"
GRB150301818,[]
GRB150309958,[6]
GRB150314205,"[0, 1, 2, 3, 4, 5, 12]"
GRB150323395,"[0, 1, 2, 3, 5]"
GRB150323712,"[0, 1, 2, 3, 4, 5, 12]"
GRB150403913,"[6, 7]"
GRB150430015,"[6, 7, 8]"
GRB150527283,"[6, 7, 8, 9, 10, 11, 13]"
