GRBa,GRB X-ray position,Error,Instrument,IPNb,XAb,OTb,RAb,IAUC,zc,position,sod,seen_by_fermi,name
240205B,23h25m54s -55° 08',3,Swift,y,y,y,y?,,0.824,"<SkyCoord (ICRS): (ra, dec) in deg
    (351.475, -55.13333333)>",79986.78,True,bn240205926
240204A,06h56m44s +01° 02',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (104.18333333, 1.03333333)>",54458.68,True,bn240204630
240128A,09h19m23s -05° 03',30,MAXI,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (139.84583333, -5.05)>",54458.68,False,
240125A,08h46m07s +66° 51',1476*3,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (131.52916667, 66.85)>",54458.68,False,
240123C,16h16m19s -58° 51',420*3,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (244.07916667, -58.85)>",54458.68,False,
240123A,13h17m16s +60° 38',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (199.31666667, 60.63333333)>",39946.86,True,bn240123467
240122A,06h11m18s -19° 02',30,MAXI,y,y,y,y,,3.162,"<SkyCoord (ICRS): (ra, dec) in deg
    (92.825, -19.03333333)>",39946.86,False,
240118A,01h14m18s +29° 47',3,Fermi,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (18.575, 29.78333333)>",39946.86,False,
240115B,12h47m24s -35° 32',3,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (191.85, -35.53333333)>",60355.09,True,bn240115698
240114A,05h15m51s +33° 45',18,MAXI,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (78.9625, 33.75)>",60355.09,False,
240112C,18h02m35s +24° 29',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (270.64583333, 24.48333333)>",63444.97,True,bn240112734
240112A,19h17m38s +21° 28',288*3,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (289.40833333, 21.46666667)>",63444.97,False,
240109AS,20h05m16s +16° 35',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (301.31666667, 16.58333333)>",63444.97,False,
240107A,19h52m03s -68° 14',30,MAXI,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (298.0125, -68.23333333)>",63444.97,True,bn240107739
240102A,06h27m23s -06° 01',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (96.84583333, -6.01666667)>",63444.97,False,
240101B,23h28m12s +51° 39',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (352.05, 51.65)>",63444.97,False,
240101A,00h41m30s +08° 31',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (10.375, 8.51666667)>",63444.97,False,
231230A,16h20m47s +58° 07',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (245.19583333, 58.11666667)>",5348.73,True,bn231230062
231222B,16h45m24s +19° 33',18,Fermi,y,y?,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (251.35, 19.55)>",5348.73,False,
231220A,01h49m17s +77° 54',5,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (27.32083333, 77.9)>",58217.4,True,bn231220674
231216A,02h39m02s +33° 36',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (39.75833333, 33.6)>",58217.4,False,
231215A,00h39m00s +57° 39',3,Swift,y,y,y,,,y?,"<SkyCoord (ICRS): (ra, dec) in deg
    (9.75, 57.65)>",35245.27,True,bn231215408
231214A,20h22m57s -72° 26',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (305.7375, -72.43333333)>",73468.31,True,bn231214850
231210B,06h23m05s -48° 22',3,Swift,,y,y,,,3.13,"<SkyCoord (ICRS): (ra, dec) in deg
    (95.77083333, -48.36666667)>",73468.31,False,
231205B,03h36m37s +27° 09',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (54.15416667, 27.15)>",73468.31,False,
231205A,13h31m45s +17° 56',58*2.4,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (202.9375, 17.93333333)>",8711.41,True,bn231205101
231129C,00h47m38s -81° 38',4,MAXI,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (11.90833333, -81.63333333)>",69018.11,True,bn231129799
231129B,19h02m38s +40° 17',24,MAXI,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (285.65833333, 40.28333333)>",69018.11,False,
231129A,21h10m09s +41° 33',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (317.5375, 41.55)>",69018.11,False,
231118A,00h19m22s -48° 02',3,Swift,y,y,y,y,,0.8304,"<SkyCoord (ICRS): (ra, dec) in deg
    (4.84166667, -48.03333333)>",62193.2,True,bn231118720
231117AS,22h09m38s +13° 31',3,Swift,y,y,y,y,,0.257,"<SkyCoord (ICRS): (ra, dec) in deg
    (332.40833333, 13.51666667)>",62193.2,False,
231115AS,09h56m00s +69° 41',2,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (149., 69.68333333)>",62193.2,False,
231111A,19h20m56s +52° 27',3,Swift,y,y,y,,,1.179-2,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.23333333, 52.45)>",62193.2,False,
231110A,23h45m11s +82° 37',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (356.29583333, 82.61666667)>",62193.2,False,
231106A,07h33m48s +29° 13',0.1,TESS,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (113.45, 29.21666667)>",62193.2,True,bn231106725
231104A,01h35m09s +83° 37',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (23.7875, 83.61666667)>",6459.91,True,bn231104075
231028A,14h16m07s +20° 54',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (214.02916667, 20.9)>",14949.55,True,bn231028173
231020A,20h57m58s -29° 15',138*2,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (314.49166667, -29.25)>",68218.3,True,bn231020790
231018A,00h04m29s +47° 25',752*38,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.12083333, 47.41666667)>",45010.66,True,bn231018521
231017A,05h44m46s +56° 40',6,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (86.19166667, 56.66666667)>",29103.3,True,bn231017337
230919AS,04h46m29s +44° 05',216*3,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (71.62083333, 44.08333333)>",29103.3,False,
230913A,17h49m23s +74° 29',5,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (267.34583333, 74.48333333)>",28572.16,True,bn230913331
230911D,10h07m36s -25° 58',3,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (151.9, -25.96666667)>",28572.16,False,
230911C,15h07m08s -41° 20',3,Swift,,y,n,?,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (226.78333333, -41.33333333)>",28572.16,False,
230911A,03h50m01s -29° 50',240,Fermi,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (57.50416667, -29.83333333)>",28572.16,False,
230906A,05h19m02s -47° 53',12*2,IPN,y,?,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (79.75833333, -47.88333333)>",46507.15,True,bn230906538
230903A,00h39m42s -40° 55',3,Swift,y,y,?,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (9.925, -40.91666667)>",62576.24,True,bn230903724
230827B,19h58m33s +54° 28',3,Fermi,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (299.6375, 54.46666667)>",62576.24,False,
230826A,05h32m03s +66° 07',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (83.0125, 66.11666667)>",70367.07,True,bn230826814
230818A,19h03m32s +40° 53',3,Swift,y,y,y,n,,2.42,"<SkyCoord (ICRS): (ra, dec) in deg
    (285.88333333, 40.88333333)>",84454.35,True,bn230818977
230816A,21h53m30s +37° 50',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (328.375, 37.83333333)>",84454.35,False,
230815B,20h29m20s +04° 11',150*3,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (307.33333333, 4.18333333)>",84454.35,False,
230815A,12h18m54s -58° 03',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (184.725, -58.05)>",38995.94,True,bn230815451
230812B,17h48m25s +11° 39',3,Swift,y,y,y,y,,0.360,"<SkyCoord (ICRS): (ra, dec) in deg
    (267.10416667, 11.65)>",68292.05,True,bn230812790
230805B,13h50m59s +31° 11',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (207.74583333, 31.18333333)>",41031.07,True,bn230805475
230803A,10h02m02s -64° 59',168*3,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (150.50833333, -64.98333333)>",5228.15,True,bn230803061
230802A,05h04m53s +19° 34',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (76.22083333, 19.56666667)>",24626.16,True,bn230802285
230728A,22h54m09s +28° 09',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (343.5375, 28.15)>",10203.22,True,bn230728118
230723B,16h41m31s -05° 20',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (250.37916667, -5.33333333)>",42152.88,True,bn230723488
230723A,01h31m38s -67° 04',126*2,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (22.90833333, -67.06666667)>",16723.47,True,bn230723194
230707A,11h32m48s -16° 25',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (173.2, -16.41666667)>",12171.96,True,bn230707141
230628E,11h27m22s -11° 27',3,Swift,,y,y,,,<2,"<SkyCoord (ICRS): (ra, dec) in deg
    (171.84166667, -11.45)>",12171.96,False,
230623A,23h19m55s -17° 50',14,MAXI,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (349.97916667, -17.83333333)>",12171.96,False,
230622A,19h30m08s -32° 55',3,Swift,,y,n,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (292.53333333, -32.91666667)>",12171.96,False,
230618A,13h06m25s +03° 18',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (196.60416667, 3.3)>",12171.96,False,
230616AS,12h48m08s +05° 41',0.3*4,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (192.03333333, 5.68333333)>",12171.96,False,
230606A,11h07m08s +36° 30',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (166.78333333, 36.5)>",12171.96,True,bn230606146
230520A,09h29m41s +01° 31',3,MAXI,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (142.42083333, 1.51666667)>",12171.96,False,
230512A,19h41m36s +38° 24',18,Fermi,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (295.4, 38.4)>",12171.96,False,
230510B,00h02m46s +27° 32',10,MAXI,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (0.69166667, 27.53333333)>",76894.01,True,bn230510890
230510A,21h12m37s +34° 27',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (318.15416667, 34.45)>",43588.58,True,bn230510503
230506C,08h57m30s +45° 08',3,Swift,y,y,?,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (134.375, 45.13333333)>",61759.35,True,bn230506715
230506B,21h47m58s +44° 32',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (326.99166667, 44.53333333)>",61759.35,True,bn230506715
230430AS,12h45m20s +33° 55',22*3,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (191.33333333, 33.91666667)>",61759.35,False,
230427A,10h13m18s +48° 11',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (153.325, 48.18333333)>",61759.35,False,
230426A,02h31m35s -79° 21',180,Fermi,y,,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (37.89583333, -79.35)>",61759.35,False,
230423A,08h10m25s -21° 55',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (122.60416667, -21.91666667)>",61759.35,False,
230421A,02h46m49s +01° 07',5,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (41.70416667, 1.11666667)>",34966.37,True,bn230421405
230420A,10h44m03s +32° 05',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (161.0125, 32.08333333)>",34966.37,False,
230418AS,02h53m46s -20° 21',20*3,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (43.44166667, -20.35)>",34966.37,False,
230414B,12h04m17s +53° 08',3,Swift,,y,y,,,3.568,"<SkyCoord (ICRS): (ra, dec) in deg
    (181.07083333, 53.13333333)>",34966.37,False,
230409B,21h58m07s +52° 51',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (329.52916667, 52.85)>",34966.37,False,
230405B,18h05m52s -47° 04',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (271.46666667, -47.06666667)>",71883.5,True,bn230405832
230402A,06h25m36s -08° 54',24,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (96.4, -8.9)>",71883.5,False,
230328B,19h23m57s +80° 01',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.9875, 80.01666667)>",53688.54,True,bn230328621
230325A,19h47m17s -46° 06',3,Swift,,y,y,,,1.664,"<SkyCoord (ICRS): (ra, dec) in deg
    (296.82083333, -46.1)>",53688.54,False,
230322B,01h06m16s -47° 44',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (16.56666667, -47.73333333)>",53688.54,False,
230309A,05h55m32s -62° 12',174*4,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (88.88333333, -62.2)>",53688.54,False,
230308AS,06h25m31s +66° 37',9*6,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (96.37916667, 66.61666667)>",53688.54,False,
230307A,04h03m17s -75° 23',10*4,IPN,y,y,y,y,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (60.82083333, -75.38333333)>",56646.67,True,bn230307656
230304B,07h21m46s -02° 07',24*6.5,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.44166667, -2.11666667)>",52549.14,True,bn230304608
230228A,01h13m37s +44° 29',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (18.40416667, 44.48333333)>",21050.25,True,bn230228244
230220A,23h06m39s +18° 33',60,MAXI,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (346.6625, 18.55)>",21050.25,False,
230217AS,18h43m05s -28° 51',3,Swift,y,y,y,y,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (280.77083333, -28.85)>",21050.25,False,
230216A,07h35m52s -08° 01',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (113.96666667, -8.01666667)>",21050.25,False,
230209B,05h57m28s +29° 12',144*7,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (89.36666667, 29.2)>",81156.89,True,bn230209939
230205A,13h28m17s +46° 41',3,Swift,,y,,y,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (202.07083333, 46.68333333)>",81156.89,False,
230204B,13h10m15s -22° 02',60,MAXI,y,y,y,,,2.142,"<SkyCoord (ICRS): (ra, dec) in deg
    (197.5625, -22.03333333)>",81156.89,True,bn230204944
230204A,15h52m39s -50° 51',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (238.1625, -50.85)>",81156.89,False,
230123A,02h43m45s -65° 41',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (40.9375, -65.68333333)>",81156.89,False,
230116D,06h34m23s +49° 50',3,Swift,,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (98.59583333, 49.83333333)>",81156.89,False,
230116C,14h53m51s -16° 52',3,Swift,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (223.4625, -16.86666667)>",81156.89,False,
230116BS,07h42m08s -43° 02',17*6,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (115.53333333, -43.03333333)>",81156.89,False,
