name ra dec ra1 dec1ra2 dec2 ra3 dec3 ra4 dec4 aGBM aIPN ratio
bn100713980 77.043 15.062 77.716 8.673 76.470 21.318 77.520 9.309 76.395 20.657 1020. 1.660 616.0
bn100714672 331.056 74.826 275.851 83.271 266.642 81.732 349.215 57.801 351.683 58.950 1020. 49.800 20.5
bn100717372 318.492 -16.677 318.045 -11.126 318.963 -22.231 317.124 -10.894 318.083 -22.023 13800. 9.260 1490.0
bn100719989 114.910 0.855 121.950 4.535 106.315 -4.459 121.947 6.259 109.426 -2.914 581. 5.580 104.0
bn100722096 237.825 -14.734 239.208 -10.073 238.256 -10.868 236.926 -18.340 237.579 -19.416 169. 11.500 14.7
bn100724029 143.302 71.939 165.398 55.367 68.891 73.066 167.370 45.678 87.382 75.345 652. 23.500 27.7
bn100804104 251.605 28.777 251.199 30.675 252.071 26.934 251.105 30.587 251.979 26.842 632. 0.374 1690.0
bn100805845 111.279 -40.877 91.496 -37.301 91.657 -36.822 131.923 -38.894 131.828 -38.401 764. 16.800 45.4
bn100811108 344.952 20.612 344.939 20.750 345.072 20.607 344.832 20.617 344.966 20.473 318. 0.033 9750.0
bn100811781 108.702 60.343 143.541 58.487 143.774 59.190 83.799 47.612 84.468 47.035 1280. 39.400 32.4
bn100816009 101.978 -28.595 101.884 -28.861 102.044 -28.955 101.913 -28.234 102.073 -28.328 656. 0.091 7190.0
bn100820373 259.644 -16.850 263.825 -0.787 264.138 -0.818 257.958 -33.498 258.325 -33.564 807. 10.600 76.3
bn100826957 279.372 -25.482 280.231 -31.374 279.436 -19.425 280.089 -30.516 279.416 -20.291 538. 0.900 598.0
bn100827455 164.748 69.657 109.091 59.150 111.462 58.331 206.842 56.566 209.258 57.248 465. 116.000 4.0
bn100829374 123.538 -3.869 119.639 13.333 119.217 13.224 133.974 -17.451 134.309 -17.179 959. 18.500 51.9
bn100829876 90.426 30.903 90.394 32.381 90.351 31.349 90.502 30.415 90.468 28.766 588. 0.370 1590.0
bn100910818 236.365 -33.483 236.456 -33.492 235.972 -34.132 236.765 -32.790 236.273 -33.475 623. 0.109 5730.0
bn100916779 149.869 -61.261 136.370 -45.476 134.146 -46.269 182.120 -70.276 183.106 -68.590 802. 63.700 12.6
bn100918863 306.564 -44.399 306.944 -45.284 306.570 -44.167 306.556 -44.628 306.182 -43.477 566. 0.133 4240.0
bn100919884 160.383 -0.579 168.696 16.723 167.991 16.875 162.010 -16.596 162.710 -16.655 878. 23.000 38.1
bn100922625 333.278 -17.225 327.593 13.638 327.312 13.663 21.510 -40.259 21.448 -39.988 4560. 24.300 188.0
bn100926595 229.062 -76.188 261.836 -61.635 261.511 -61.531 162.966 -75.132 163.253 -74.958 836. 8.460 98.7
bn100929916 188.598 -12.772 200.657 3.756 200.349 4.166 201.538 -25.521 201.879 -25.092 1420. 24.200 58.7
bn101013412 287.997 -47.357 288.515 -45.419 288.616 -43.206 287.083 -51.133 287.399 -49.202 790. 1.030 768.0
bn101014175 24.767 -48.235 8.011 -42.472 7.966 -42.639 44.158 -49.882 44.239 -49.722 576. 4.470 129.0
bn101016243 134.885 -6.875 139.849 7.732 139.773 7.780 129.262 -22.204 129.167 -22.193 814. 3.110 262.0
bn101017619 29.380 -12.757 44.598 -18.451 44.398 -18.048 16.633 0.658 16.191 0.671 1740. 18.700 93.2
bn101021009 10.765 -16.551 16.854 -21.748 5.586 -10.291 5.247 -10.204 16.920 -22.079 630. 4.670 135.0
bn101026034 261.830 -0.284 250.591 16.178 248.529 13.462 264.833 -23.393 268.530 -22.504 1810. 184.000 9.8
bn101113483 27.923 0.846 19.754 18.178 19.323 18.016 39.548 -12.777 39.911 -12.501 1060. 20.800 51.1
bn101117496 59.807 -29.906 43.732 -22.783 43.608 -23.445 77.073 -31.987 77.367 -31.361 787. 21.200 37.1
bn101123952 131.202 5.179 136.129 17.374 136.021 17.399 124.617 -6.132 124.534 -6.065 569. 3.480 164.0
bn101126198 84.461 -23.884 85.287 -23.869 83.107 -24.043 85.812 -23.688 83.637 -23.885 585. 0.246 2380.0
bn101127093 66.590 -4.626 77.590 -3.434 76.627 -2.531 56.483 -1.580 55.341 -2.340 1030. 47.600 21.7
bn101129652 268.213 -7.603 269.572 -7.891 266.777 -7.113 269.666 -8.230 266.877 -7.424 1160. 0.816 1430.0
bn101206036 167.300 -28.117 174.881 -42.802 157.224 -34.747 175.512 -20.483 161.618 -14.436 346. 296.000 1.2
bn101207536 174.197 7.427 181.830 21.724 181.559 21.890 168.121 -10.585 168.414 -10.677 959. 12.200 78.6
bn101208498 289.936 -62.811 290.175 -62.819 289.506 -62.979 290.361 -62.640 289.697 -62.802 598. 0.041 14700.0
bn101216721 280.965 -24.324 281.091 -26.720 281.188 -21.926 280.806 -27.048 280.928 -21.589 672. 1.210 555.0
bn101225377 62.725 26.528 78.432 -5.889 72.805 55.007 78.634 -5.814 73.173 54.967 8210. 12.600 652.0
bn101227406 238.776 -18.344 237.900 -21.995 240.033 -14.623 237.922 -22.589 240.363 -14.121 697. 1.130 616.0
bn101227536 165.628 -47.255 165.410 -47.516 165.777 -47.197 165.478 -47.313 165.844 -46.992 967. 0.036 26800.0
bn101231067 192.422 19.570 192.722 20.223 192.486 19.847 192.357 19.290 192.114 18.893 615. 0.078 7850.0
bn110105877 88.117 -24.132 88.151 -24.258 87.724 -24.029 88.510 -24.233 88.082 -24.007 696. 0.084 8290.0
bn110108977 2.091 -21.401 354.428 -3.588 354.176 -3.678 12.687 -41.422 12.974 -41.256 1220. 12.900 94.9
