DAY,MONTH,YEAR,HOURS1,MINUTES1,SECONDS1,BATSE .,BATSE/GBM RA,BATSE/GBM DEC,BATSE/GBM R,"IPN RA1","IPN DEC1","IPN R1","IPN DR1","IPN RA2","IPN DEC2","IPN R2","IPN DR2","WATCH RA","WATCH DEC","WATCH R","COMPTEL RA","COMPTEL DEC","COMPTEL R","EGRET RA","EGRET DEC","EGRET R","PHEBUS RA","PHEBUS DEC","PHEBUS R","SIGMA RA","SIGMA DEC","SIGMA R","SAX RA","SAX DEC","SAX R","HETE RA","HETE DEC","HETE R","KONUS ECLIPTIC1","KONUS ECLIPTIC2","PLANET BLOCKING RA","PLANET BLOCKING DEC","PLANET  BLOCKING RADIUS","OTHER LOCALIZATION RA","OTHER LOCALIZATION DEC","OTHER LOCALIZATION RADIUS",Y,SOD,MN1,YR1,A,B,C,D,JD
30, 'AUG' ,2008,08,50,16,0,160.10,30.80,2.50,192.6327,-8.2692,50.5341,0.1876,144.9012,8.5444,34.2124,11.4963,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.00,65.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.74,31816,8,2008,20.00,-13.00,39397.00,275.00,39688.86824
6, 'SEP' ,2008,05,05,11,0,182.80,-6.40,1.30,157.0024,3.3962,28.9323,3.4985,197.2020,-10.8345,13.6815,0.3987,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.00,10.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.76,18311,9,2008,20.00,-13.00,39397.00,306.00,39695.71193
16, 'SEP' ,2008,00,12,45,0,124.31,-54.72,1.00,201.8800,-13.5022,74.3952,0.0733,174.9476,-9.9746,63.2533,1.8652,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.20,-60.20,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.79,00765,9,2008,20.00,-13.00,39397.00,306.00,39705.50885
18, 'SEP' ,2008,09,44,38,0,0.00,0.00,0.00,22.4609,13.8611,85.6308,0.0878,359.4143,6.0368,66.3634,1.4721,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.30,52.30,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.79,35078,9,2008,20.00,-13.00,39397.00,306.00,39707.90600
25, 'SEP' ,2008,18,35,55,0,96.10,18.20,1.20,13.3464,10.7060,81.1758,1.9824,21.8102,13.6493,71.2117,0.1731,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.30,8.70,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.81,66955,9,2008,20.00,-13.00,39397.00,306.00,39715.27494
1, 'OCT' ,2008,21,17,43,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.60,24.60,0.00,0.00,0.00,276.5760,-8.7540,0.0500,2008.83,76663,10,2008,20.00,-13.00,39397.00,336.00,39721.38730
3, 'OCT' ,2008,15,27,18,0,259.10,35.40,6.90,206.3112,-14.4858,74.3897,6.6077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.20,48.20,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.84,55638,10,2008,20.00,-13.00,39397.00,336.00,39723.14396
4, 'OCT' ,2008,13,26,16,0,0.00,0.00,0.00,208.1196,-14.6726,89.8764,1.2419,14.3584,9.1259,77.9876,0.0925,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.60,34.60,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.84,48376,10,2008,20.00,-13.00,39397.00,336.00,39724.05991
9, 'OCT' ,2008,03,20,58,0,250.50,18.40,1.00,189.2711,-5.2873,65.8180,0.4675,215.0909,-16.2458,49.9040,0.8287,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.20,90.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.85,12058,10,2008,20.00,-13.00,39397.00,336.00,39728.63956
9, 'OCT' ,2008,16,31,50,0,64.60,14.20,2.10,8.7661,4.8497,58.7294,0.5561,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-16.90,3.10,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.85,59510,10,2008,20.00,-13.00,39397.00,336.00,39729.18877
21, 'OCT' ,2008,09,33,28,0,190.30,-25.60,4.10,189.2842,-1.8576,23.8664,0.7880,189.6500,-2.0238,23.6428,0.4126,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-29.00,-9.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.89,34408,10,2008,20.00,-13.00,39397.00,336.00,39740.89824
22, 'OCT' ,2008,19,06,50,0,0.00,0.00,0.00,231.8196,-18.2300,48.8416,1.5264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.20,50.20,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.89,68810,10,2008,20.00,-13.00,39397.00,336.00,39742.29641
25, 'OCT' ,2008,08,23,16,0,0.00,0.00,0.00,193.5757,-3.4151,75.3954,0.3369,233.9915,-18.4087,80.2645,2.8597,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.70,90.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.90,30196,10,2008,20.00,-13.00,39397.00,336.00,39744.84949
26, 'OCT' ,2008,01,09,52,0,0.00,0.00,0.00,234.6482,-18.3457,64.5911,1.2405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.20,48.20,198.40,-29.20,66.60,0.0000,0.0000,0.0000,2008.90,04192,10,2008,20.00,-13.00,39397.00,336.00,39745.54852
1, 'NOV' ,2008,12,45,24,0,207.50,-28.00,1.10,201.9032,-6.8990,24.6913,0.2791,240.2875,-18.2625,29.7373,2.5185,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-24.40,-4.40,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.91,45924,11,2008,20.00,-13.00,39397.00,367.00,39752.03153
2, 'NOV' ,2008,08,44,58,0,225.30,22.00,8.60,203.2405,-7.4582,38.5514,0.0889,153.6906,82.7345,55.5221,15.0828,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,148.00,-28.40,66.40,0.0000,0.0000,0.0000,2008.92,31498,11,2008,20.00,-13.00,39397.00,367.00,39752.86456
4, 'NOV' ,2008,00,26,32,0,0.00,0.00,0.00,205.0448,-8.2514,29.2913,0.1478,242.3246,-18.3908,10.3264,10.3264,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.70,16.30,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.92,01592,11,2008,20.00,-13.00,39397.00,367.00,39754.51843
5, 'NOV' ,2008,13,26,22,0,0.00,0.00,0.00,63.3121,18.3647,28.4299,15.1602,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.10,25.10,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.93,48382,11,2008,20.00,-13.00,39397.00,367.00,39756.05998
10, 'NOV' ,2008,13,04,47,0,0.00,0.00,0.00,53.2991,19.4056,72.7991,0.0123,65.7201,22.2726,83.6141,1.0339,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-29.00,-19.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.94,47087,11,2008,20.00,-13.00,39397.00,367.00,39761.04499
10, 'NOV' ,2008,14,25,43,0,111.70,21.40,1.80,33.4004,11.7601,74.2080,0.1295,66.8669,18.0652,42.1848,1.3368,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.80,10.20,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.94,51943,11,2008,20.00,-13.00,39397.00,367.00,39761.10119
10, 'NOV' ,2008,16,18,48,0,0.00,0.00,0.00,213.4980,-11.7997,85.3193,0.0426,246.5607,-18.1661,66.7538,1.1750,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.70,90.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.94,58728,11,2008,20.00,-13.00,39397.00,367.00,39761.17972
22, 'NOV' ,2008,12,28,12,0,339.10,40.00,1.00,70.8457,21.7425,78.1267,1.0350,71.5934,17.5326,81.5259,0.6558,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,90.00,40.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.97,44892,11,2008,20.00,-13.00,39397.00,367.00,39773.01958
25, 'NOV' ,2008,11,53,39,0,42.70,-18.90,1.00,64.4817,21.7596,46.0248,0.0341,72.7207,17.4758,46.4659,2.0806,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.60,-19.60,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.98,42819,11,2008,20.00,-13.00,39397.00,367.00,39775.99559
29, 'NOV' ,2008,03,52,04,0,63.20,-54.90,3.00,73.9976,17.3628,74.6374,1.0860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-84.50,-64.50,0.00,0.00,0.00,0.0000,0.0000,0.0000,2008.99,13924,11,2008,20.00,-13.00,39397.00,367.00,39779.66116
4, 'DEC' ,2008,20,24,58,0,0.00,0.00,0.00,255.8648,-17.2876,78.2100,2.7959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-65.80,-45.80,0.00,0.00,0.00,0.0000,0.0000,0.0000,2009.01,73498,12,2008,20.00,-13.00,39397.00,397.00,39785.35067
7, 'DEC' ,2008,16,18,46,0,112.40,70.50,1.20,76.8160,17.1712,61.1915,15.6186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.50,54.50,0.00,0.00,0.00,0.0000,0.0000,0.0000,2009.01,58726,12,2008,20.00,-13.00,39397.00,397.00,39788.17970
9, 'DEC' ,2008,23,31,56,0,45.30,63.50,4.90,76.9122,17.3219,48.3798,0.1539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.00,90.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,2009.02,84716,12,2008,20.00,-13.00,39397.00,397.00,39790.48051
10, 'DEC' ,2008,21,56,43,0,0.00,0.00,0.00,257.2433,-17.3081,38.0661,24.1895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.60,34.60,0.00,0.00,0.00,0.0000,0.0000,0.0000,2009.02,79003,12,2008,20.00,-13.00,39397.00,397.00,39791.41439
15, 'DEC' ,2008,18,48,36,0,137.33,50.06,1.00,78.6738,17.6096,51.5232,0.2007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.20,50.20,0.00,0.00,0.00,0.0000,0.0000,0.0000,2009.04,67716,12,2008,20.00,-13.00,39397.00,397.00,39796.28375
15, 'DEC' ,2008,21,06,52,0,228.60,-50.70,5.40,258.6720,-17.6600,31.8865,31.8865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-55.00,5.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,2009.04,76012,12,2008,20.00,-13.00,39397.00,397.00,39796.37977
16, 'DEC' ,2008,12,44,04,0,129.20,7.60,4.40,77.6461,22.1500,51.1042,0.5522,78.6767,17.8274,49.9661,0.2403,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.80,10.20,0.00,0.00,0.00,0.0000,0.0000,0.0000,2009.04,45844,12,2008,20.00,-13.00,39397.00,397.00,39797.03060
19, 'DEC' ,2008,12,35,48,0,0.00,0.00,0.00,79.2748,17.9705,21.3433,21.3433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.10,-6.10,0.00,0.00,0.00,0.0000,0.0000,0.0000,2009.05,45348,12,2008,20.00,-13.00,39397.00,397.00,39800.02486
21, 'DEC' ,2008,16,21,11,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.40,-15.40,0.00,0.00,0.00,15.8010,-24.5420,0.0166,2009.05,58871,12,2008,20.00,-13.00,39397.00,397.00,39802.18138
