Trigger	swift_ra	swift_dec	balrog_ra	balrog_dec	balrog_off	balrog_model	dol_ra	dol_dec	dol_err	dol_off	fluence	peak_flux
080714745	188.1	-60.2	193.6 +or- 3.4	-57.9 +or- 2.7	3.7	cpl	183.5	-57.5	3.9	3.6	6.3 middot 10^-6	6.9	
080723557	176.8	-60.2	179.3 +or- 0.5	-60.8 +or- 0.5	1.4	cpl	175.1	-60.7	1.0	1.0	7.2 middot 10^-5	3.0 middot 10^1	
080725435	121.7	-14.0	120.7 +or- 1.7	-12.7 +or- 2.2	1.6	cpl	123.1	-23.1	2.2	9.2	8.0 middot 10^-6	3.4	
080727964	32.6	64.1	41.6 +or- 6.7	63.3 +or- 2.8	4.1	cpl	40.0	62.2	2.7	3.8	1.3 middot 10^-5	3.5	
080804972	328.7	-53.2	330.0 +or- 3.9	-52.9 +or- 1.4	0.9	cpl	320.8	-52.7	2.4	4.8	9.1 middot 10^-6	3.8	
080916009	119.8	-56.6	120.6 +or- 1.4	-58.5 +or- 0.8	1.9	band	124.4	-54.7	1.4	3.2	6.0 middot 10^-5	1.4 middot 10^1	
081102739	331.2	53.0	326.9 +or- 4.9	50.1 +or- 3.4	3.9	pl	321.3	51.9	4.5	6.1	3.8 middot 10^-6	2.7	
081121858	89.3	-60.6	94.3 +or- 5.2	-63.9 +or- 1.0	4.0	cpl	97.2	-59.9	1.1	4.0	1.5 middot 10^-5	7.7	
081126899	323.5	48.7	313.6 +or- 9.1	49.3 +or- 4.2	6.5	cpl	326.9	50.3	2.7	2.7	1.1 middot 10^-5	6.5	
081221681	15.8	-24.5	14.8 +or- 0.3	-24.2 +or- 0.4	1.0	cpl	14.1	-25.2	1.2	1.7	3.0 middot 10^-5	2.5 middot 10^1	
081222204	22.7	-34.1	24.2 +or- 1.3	-33.3 +or- 0.9	1.5	cpl	18.6	-32.4	1.5	3.8	1.2 middot 10^-5	1.3 middot 10^1	
090102122	128.2	33.1	124.6 +or- 0.7	31.5 +or- 0.5	3.4	cpl	128.5	30.3	1.5	2.8	2.8 middot 10^-5	1.1 middot 10^1	
090129880	269.1	-32.8	268.3 +or- 5.1	-33.3 +or- 1.4	0.8	cpl	270.6	-33.8	1.8	1.6	5.6 middot 10^-6	6.6	
090323002	190.7	17.1	190.3 +or- 2.3	16.2 +or- 2.0	1.0	cpl	190.1	21.1	1.2	4.0	1.1 middot 10^-4	1.3 middot 10^1	
090328401	90.9	-42.0	94.0 +or- 1.6	-44.0 +or- 0.6	3.0	band	95.9	-45.1	1.0	4.8	4.2 middot 10^-5	1.7 middot 10^1	
090424592	189.5	16.8	190.3 +or- 0.2	17.9 +or- 0.3	1.3	cpl	191.5	18.1	1.6	2.3	4.6 middot 10^-5	1.1 middot 10^2	
090510016*	333.6	-26.6	334.6 +or- 1.7	-30.3 +or- 1.6	3.8	cpl	335.0	-31.3	1.0	4.9	3.4 middot 10^-6	9.1	
090531775*	252.1	-36.0	250.0 +or- 6.3	-33.7 +or- 3.4	2.9	cpl	252.9	-31.5	7.2	4.5	3.2 middot 10^-7	3.4	
090618353	294.0	78.4	285.5 +or- 3.0	79.7 +or- 0.3	2.0	cpl	288.4	80.0	1.0	1.9	2.7 middot 10^-4	6.9 middot 10^1	
090813174	225.1	88.6	282.0 +or- 32.8	87.5 +or- 1.2	2.1	cpl	40.2	86.0	5.1	5.4	3.3 middot 10^-6	1.4 middot 10^1	
090902462	264.9	27.3	263.3 +or- 0.3	27.8 +or- 0.3	1.5	cpl	261.4	26.1	1.0	3.3	2.2 middot 10^-4	7.7 middot 10^1	
090904058	264.2	-25.2	260.5 +or- 1.5	-23.5 +or- 2.5	3.8	cpl	265.9	-30.1	1.9	5.1	2.2 middot 10^-5	6.8	
090926181	353.4	-66.3	353.7 +or- 0.6	-66.2 +or- 0.2	0.2	cpl	350.1	-63.5	1.0	3.1	1.5 middot 10^-4	8.1 middot 10^1	
091003191	251.5	36.6	251.2 +or- 0.3	36.3 +or- 0.2	0.4	cpl	251.2	37.3	1.0	0.7	2.3 middot 10^-5	2.9 middot 10^1	
091020900	175.7	51.0	180.8 +or- 4.2	52.4 +or- 2.5	3.5	cpl	174.4	52.7	3.1	1.9	8.3 middot 10^-6	6.8	
091112737	257.7	-36.7	258.2 +or- 2.0	-38.9 +or- 5.0	2.2	cpl	258.3	-36.7	3.2	0.5	9.9 middot 10^-6	4.2	
091127976	36.6	-19.1	35.9 +or- 0.5	-18.4 +or- 0.4	0.9	cpl	38.1	-21.0	1.1	2.4	2.1 middot 10^-5	6.8 middot 10^1	
091208410	29.4	16.9	28.5 +or- 0.9	16.7 +or- 1.1	0.9	pl	30.1	13.5	2.6	3.5	6.2 middot 10^-6	2.1 middot 10^1	
091221870	55.8	23.2	57.4 +or- 2.4	22.2 +or- 1.4	1.8	cpl	54.5	27.3	1.2	4.3	8.9 middot 10^-6	4.3	
100401297	290.8	-8.3	292.2 +or- 9.2	-15.5 +or- 7.7	7.4	pl	290.0	-16.3	7.9	8.0	1.9 middot 10^-6	4.1	
100414097	192.1	8.7	191.1 +or- 0.4	9.3 +or- 0.3	1.2	band	185.7	15.7	1.0	9.4	8.8 middot 10^-5	2.2 middot 10^1	
100427356	89.2	-3.5	85.7 +or- 1.3	-2.0 +or- 2.1	3.8	cpl	91.0	-1.4	2.6	2.8	2.3 middot 10^-6	3.8	
